HBA_SMILES,HBD_SMILES,Other_SMILES,ratio_HBA_to_HBD,ratio_Other_to_HBD,property_value,property_type,property_unity,Temperature_C
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,24.7,viscosity,cp,6.9
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,23.6,viscosity,cp,7.6
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,23.3,viscosity,cp,8.2
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,21.4,viscosity,cp,10
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,18,viscosity,cp,15
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,14.7,viscosity,cp,20
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,13.1,viscosity,cp,25
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,9.8,viscosity,cp,35
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,7.5,viscosity,cp,40
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1266,density,g/cc,4.1
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1216,density,g/cc,7.2
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1219,density,g/cc,9.8
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1207,density,g/cc,11.7
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1212,density,g/cc,14.4
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1071,density,g/cc,41.1
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1094,density,g/cc,37.7
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1109,density,g/cc,35.8
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.1152,density,g/cc,28.6
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,1.966,conductivity,mS/cm,-22.6
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,2.23,conductivity,mS/cm,-21.4
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,2.359,conductivity,mS/cm,-20.8
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,3.203,conductivity,mS/cm,-17.8
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,4.501,conductivity,mS/cm,-10.9
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,4.563,conductivity,mS/cm,-10.8
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,4.618,conductivity,mS/cm,-10.7
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,7.061,conductivity,mS/cm,-0.5
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,7.111,conductivity,mS/cm,-0.4
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,13.043,conductivity,mS/cm,15.5
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,20.585,conductivity,mS/cm,29.8
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,27.728,conductivity,mS/cm,40.6
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,34.571,conductivity,mS/cm,50.6
C[NH3+].[Cl-],C(CO)O,O,0.04,0.03,3.21,electrochemical_window,V,31.3
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0277,density,g/cc,13.8
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0242,density,g/cc,19.1
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0155,density,g/cc,29.5
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0141,density,g/cc,30.7
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0124,density,g/cc,32.4
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0098,density,g/cc,34.8
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0089,density,g/cc,36.1
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0053,density,g/cc,40.5
C[NH3+].[Cl-],CNC=O,O,0.05,0.03,1.0011,density,g/cc,44.8
