HBA_SMILES,HBD_SMILES,ratio,property_value,property_type,property_unity,method,functional,basis,forcefield
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,0.632,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,1.233,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,2.507,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,5.883,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,8.972,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,13.837,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
[Li+].[N+](=O)([O-])[O-],CNC=O,0.25,3.41,electrochemical_window,V,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,24.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,23.6,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,23.3,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,21.4,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,18,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,14.7,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,13.1,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,9.8,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,7.5,viscosity,cp,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1266,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1216,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1219,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1207,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1212,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1071,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1094,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1109,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.1152,density,g/cc,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,1.966,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,2.23,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,2.359,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,3.203,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,4.501,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,4.563,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,4.618,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,7.061,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,7.111,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,13.043,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
C[NH3+].[Cl-],C(CO)O,0.25,20.585,conductivity,mS/cm,dft,bp86,Def2-TZVP,UFF
